datetime,station_antwerp,station_paris,station_london
2019-05-14 02:00:00,14.5,20.9,23.0
2019-05-14 03:00:00,14.5,19.1,26.0
2019-05-14 04:00:00,11.5,19.0,26.0
2019-05-14 05:00:00,12.108695652173914,22.1,30.0
2019-05-14 06:00:00,12.717391304347826,31.6,30.0
2019-05-14 07:00:00,13.326086956521738,38.6,33.0
2019-05-14 08:00:00,13.934782608695652,46.1,34.0
2019-05-14 09:00:00,14.543478260869565,41.3,33.0
2019-05-14 10:00:00,15.152173913043478,28.8,30.0
2019-05-14 11:00:00,15.76086956521739,19.0,31.0
2019-05-14 12:00:00,16.369565217391305,12.9,27.0
2019-05-14 13:00:00,16.97826086956522,11.3,25.0
2019-05-14 14:00:00,17.58695652173913,10.2,25.0
2019-05-14 15:00:00,18.195652173913043,11.0,25.0
2019-05-14 16:00:00,18.804347826086957,15.2,29.0
2019-05-14 17:00:00,19.413043478260867,13.4,32.0
2019-05-14 18:00:00,20.02173913043478,15.3,33.0
2019-05-14 19:00:00,20.630434782608695,17.7,30.0
2019-05-14 20:00:00,21.23913043478261,17.9,28.0
2019-05-14 21:00:00,21.847826086956523,23.3,27.0
2019-05-14 22:00:00,22.456521739130434,28.4,25.0
2019-05-14 23:00:00,23.065217391304348,29.0,26.0
2019-05-15 00:00:00,23.673913043478258,30.9,26.0
2019-05-15 01:00:00,24.282608695652172,24.3,22.0
2019-05-15 02:00:00,24.891304347826086,18.8,22.0
2019-05-15 03:00:00,25.5,17.2,22.0
2019-05-15 04:00:00,22.5,16.8,22.0
2019-05-15 05:00:00,22.73913043478261,17.9,25.0
2019-05-15 06:00:00,22.97826086956522,28.9,25.0
2019-05-15 07:00:00,23.217391304347828,46.5,33.0
2019-05-15 08:00:00,23.456521739130434,48.1,33.0
2019-05-15 09:00:00,23.695652173913043,32.1,34.0
2019-05-15 10:00:00,23.934782608695652,25.7,35.0
2019-05-15 11:00:00,24.17391304347826,0.0,36.0
2019-05-15 12:00:00,24.41304347826087,0.0,35.0
2019-05-15 13:00:00,24.652173913043477,0.0,30.0
2019-05-15 14:00:00,24.891304347826086,9.4,31.0
2019-05-15 15:00:00,25.130434782608695,10.0,30.0
2019-05-15 16:00:00,25.369565217391305,11.9,38.0
2019-05-15 17:00:00,25.608695652173914,12.9,38.0
2019-05-15 18:00:00,25.847826086956523,12.2,33.0
2019-05-15 19:00:00,26.08695652173913,12.9,35.0
2019-05-15 20:00:00,26.32608695652174,16.5,33.0
2019-05-15 21:00:00,26.565217391304348,20.3,31.0
2019-05-15 22:00:00,26.804347826086957,30.1,32.0
2019-05-15 23:00:00,27.043478260869566,36.0,33.0
2019-05-16 00:00:00,27.282608695652172,44.1,33.0
2019-05-16 01:00:00,27.52173913043478,30.9,33.0
2019-05-16 02:00:00,27.76086956521739,27.4,33.0
2019-05-16 03:00:00,28.0,26.0,28.0
2019-05-16 04:00:00,28.28125,26.7,28.0
2019-05-16 05:00:00,28.5625,27.9,26.0
2019-05-16 06:00:00,28.84375,37.0,26.0
2019-05-16 07:00:00,29.125,52.6,33.0
2019-05-16 08:00:00,29.40625,46.3,34.0
2019-05-16 09:00:00,29.6875,40.0,33.0
2019-05-16 10:00:00,29.96875,39.4,32.0
2019-05-16 11:00:00,30.25,29.5,31.0
2019-05-16 12:00:00,30.53125,13.5,33.0
2019-05-16 13:00:00,30.8125,10.5,30.0
2019-05-16 14:00:00,31.09375,9.2,27.0
2019-05-16 15:00:00,31.375,8.5,27.0
2019-05-16 16:00:00,31.65625,8.1,26.0
2019-05-16 17:00:00,31.9375,10.1,29.0
2019-05-16 18:00:00,32.21875,10.3,30.0
2019-05-16 19:00:00,32.5,13.5,25.0
2019-05-16 20:00:00,32.78125,15.9,27.0
2019-05-16 21:00:00,33.0625,14.4,26.0
